name,source_group,has_binding,has_functional,has_biased,has_oligomers,has_downstream,has_neuroimaging,has_pk_routes,has_conc_effect,has_metabolism,has_drug_interactions,has_pgx,has_tolerance,has_off_targets,has_identifiers,confidence
5-methyl-L-tryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-Methyltryptamine hydrochloride,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5-nitro-N,N-dimethyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-TERT-BUTYLTRYPTAMINE,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-TFMO-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5f-akb48,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
5F-MDMB-PICA,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
5f-pb-22,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
"6,7-dichloro-L-tryptophan",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-(Trifluoromethoxy)-1H-indole-3-ethanamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-Amino-1H-indole-3-acetonitrile,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-apb,mdma-and-entactogens,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,high
6-apdb,mdma-and-entactogens,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,medium
6-Bromo-1H-indole-3-ethanamine monohydrochloride,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-bromo-2-mercaptomethyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-bromo-2-mercaptotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-Bromo-N-methyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-bromo-N-propionyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-bromotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-chloro-L-tryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-eapb,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
6-F-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-fluoro-DET,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-fluorotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-Fluorotryptamine hydrochloride,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-Hydroxy-1H-indole-3-acetamide,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-hydroxy-N-acetyl-ss-oxotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-hydroxytryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-mapb,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,low
6-mddm,classical-opioids,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
6-MEO-THH,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-methoxytryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-methyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
6-Monoacetylmorphine,classical-opioids,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,high
7-chloro-AMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
7-chloro-L-tryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
7-chlorotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
7-chlorotryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
7-Cl-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
7-fluorotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
7-hydroxy-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
7-Hydroxymitragynine,classical-opioids,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,high
7-hydroxytryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
7-methyl-α-ethyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
7-methyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
9-Me-BC,nootropics-other,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,yes,low
"a,N,O-TMS",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"a,N-DMT",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"a,O-DMS",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
A-443654,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
A-71623,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
a-ET,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,low
a-MT,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,medium
A-pihp,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
A-pvp,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
Ab-chminaca,cannabinoids,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
